qid	qa_pair_id	question	candidate	label
258	4449	does this have a heel?	"age_range_description:  { value:""adult"" }"	0
258	4451	does this have a heel?	batteries_included:  { value:false }	0
258	4452	does this have a heel?	batteries_required:  { value:false }	0
258	4453	does this have a heel?	"brand:  { value:""sanuk"" }"	0
258	4454	does this have a heel?	"color:  { standardized_values:[ ""black"" ], value:""charcoal"" }"	0
258	4456	does this have a heel?	"fabric_type:  { value:""50% cotton, 50% linen"" }"	0
258	4457	does this have a heel?	"heel:  { type:[ { value:""flat"" } ] }"	1
258	4459	does this have a heel?	"insole:  { material:[ { value:""fabric"" } ] }"	0
258	4460	does this have a heel?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:8 }, value:8 }, length:{ unit:inches, normalized_value:{ unit:inches, value:15 }, value:15 }, height:{ unit:inches, normalized_value:{ unit:inches, value:5 }, value:5 } }	0
258	4461	does this have a heel?	item_package_dimensions:  { length:{ unit:centimeters, normalized_value:{ unit:inches, value:12 }, value:30.48 }, width:{ unit:centimeters, normalized_value:{ unit:inches, value:5.2 }, value:13.21 }, height:{ unit:centimeters, normalized_value:{ unit:inches, value:3.3 }, value:8.38 } }	0
258	4463	does this have a heel?	item_package_weight:  { unit:pounds, normalized_value:{ unit:pounds, value:2.85 }, value:2.85 }	0
258	4464	does this have a heel?	item_weight:  { unit:ounces, normalized_value:{ unit:pounds, value:0.54 }, value:8.6 }	0
258	4465	does this have a heel?	"lifestyle:  { value:""fashion"" }"	0
258	4466	does this have a heel?	"lining_description:  { value:""fabric"" }"	0
258	4467	does this have a heel?	"material:  { value:""synthetic-and-mesh"" }"	0
258	4468	does this have a heel?	model_year:  { value:2015 }	0
258	4469	does this have a heel?	"seasons:  { value:""spring/summer"" }"	0
258	4470	does this have a heel?	"size:  { value:""11"" }"	0
258	4471	does this have a heel?	"sole_material:  { value:""rubber"" }"	0
258	4472	does this have a heel?	target_gender:  { value:male }	0
258	4473	does this have a heel?	"toe_style:  { value:""closed-toe"" }"	0
258	4474	does this have a heel?	water_resistance_level:  { value:not_water_resistant }	0
259	4476	are these high heels?	"age_range_description:  { value:""adult"" }"	0
259	4478	are these high heels?	batteries_included:  { value:false }	0
259	4479	are these high heels?	batteries_required:  { value:false }	0
259	4480	are these high heels?	"brand:  { value:""sanuk"" }"	0
259	4481	are these high heels?	"color:  { standardized_values:[ ""black"" ], value:""charcoal"" }"	0
259	4483	are these high heels?	"fabric_type:  { value:""50% cotton, 50% linen"" }"	0
259	4484	are these high heels?	"heel:  { type:[ { value:""flat"" } ] }"	1
259	4486	are these high heels?	"insole:  { material:[ { value:""fabric"" } ] }"	0
259	4487	are these high heels?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:8 }, value:8 }, length:{ unit:inches, normalized_value:{ unit:inches, value:15 }, value:15 }, height:{ unit:inches, normalized_value:{ unit:inches, value:5 }, value:5 } }	0
