qid	qa_pair_id	question	candidate	label
10527	202850	is the sticker for kids?	"brand:  { value:""crazy sticker guy"" }"	0
10527	202851	is the sticker for kids?	"color:  { value:""red, white, black"" }"	0
10527	202852	is the sticker for kids?	"installation_type:  { value:""peel and stick"" }"	0
10527	202854	is the sticker for kids?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:3 }, value:3 }, length:{ unit:inches, normalized_value:{ unit:inches, value:6 }, value:6 }, height:{ unit:inches, normalized_value:{ unit:inches, value:0.06 }, value:0.06 } }	0
10527	202856	is the sticker for kids?	item_weight:  { unit:ounces, normalized_value:{ unit:pounds, value:0.02 }, value:0.25 }	0
10527	202857	is the sticker for kids?	"material:  { value:""vinyl"" }"	0
10528	202861	is this sticker good for my 5-yr-old?	"brand:  { value:""crazy sticker guy"" }"	0
10528	202862	is this sticker good for my 5-yr-old?	"color:  { value:""red, white, black"" }"	0
10528	202863	is this sticker good for my 5-yr-old?	"installation_type:  { value:""peel and stick"" }"	0
10528	202865	is this sticker good for my 5-yr-old?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:3 }, value:3 }, length:{ unit:inches, normalized_value:{ unit:inches, value:6 }, value:6 }, height:{ unit:inches, normalized_value:{ unit:inches, value:0.06 }, value:0.06 } }	0
10528	202867	is this sticker good for my 5-yr-old?	item_weight:  { unit:ounces, normalized_value:{ unit:pounds, value:0.02 }, value:0.25 }	0
10528	202868	is this sticker good for my 5-yr-old?	"material:  { value:""vinyl"" }"	0
10529	202872	what age group is this sticker for?	"brand:  { value:""crazy sticker guy"" }"	0
10529	202873	what age group is this sticker for?	"color:  { value:""red, white, black"" }"	0
10529	202874	what age group is this sticker for?	"installation_type:  { value:""peel and stick"" }"	0
10529	202876	what age group is this sticker for?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:3 }, value:3 }, length:{ unit:inches, normalized_value:{ unit:inches, value:6 }, value:6 }, height:{ unit:inches, normalized_value:{ unit:inches, value:0.06 }, value:0.06 } }	0
10529	202878	what age group is this sticker for?	item_weight:  { unit:ounces, normalized_value:{ unit:pounds, value:0.02 }, value:0.25 }	0
10529	202879	what age group is this sticker for?	"material:  { value:""vinyl"" }"	0
10530	202883	is this for kids?	batteries_included:  { value:false }	0
10530	202884	is this for kids?	batteries_required:  { value:false }	0
10530	202885	is this for kids?	"brand:  { value:""bargain max decals"" }"	0
10530	202886	is this for kids?	"color:  { value:""white"" }"	0
10530	202888	is this for kids?	"exterior_finish:  { value:""smooth"" }"	0
10530	202889	is this for kids?	"fit_type:  { value:""universal"" }"	0
10530	202891	is this for kids?	"inner:  { material:[ { value:""vinyl"" } ] }"	0
10530	202893	is this for kids?	is_foldable:  { value:false }	0
10530	202895	is this for kids?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:0.1 }, value:0.1 }, length:{ unit:inches, normalized_value:{ unit:inches, value:5 }, value:5 }, height:{ unit:inches, normalized_value:{ unit:inches, value:5.5 }, value:5.5 } }	0
10530	202896	is this for kids?	item_package_dimensions:  { length:{ unit:centimeters, normalized_value:{ unit:inches, value:5 }, value:0.13 }, width:{ unit:centimeters, normalized_value:{ unit:inches, value:4.8 }, value:12.19 }, height:{ unit:centimeters, normalized_value:{ unit:inches, value:0.05 }, value:12.7 } }	0
10530	202898	is this for kids?	item_package_weight:  { unit:kilograms, normalized_value:{ unit:pounds, value:0.04 }, value:0.02 }	0
10530	202899	is this for kids?	item_weight:  { unit:pounds, normalized_value:{ unit:pounds, value:0.03 }, value:0.03 }	0
10530	202900	is this for kids?	"material:  { value:""polyvinyl chloride"" }"	0
10530	202901	is this for kids?	"outer:  { material:[ { value:""vinyl"" } ] }"	0
10530	202902	is this for kids?	"size:  { value:""5.5\"""" }"	0
10531	202907	is this rated r?	batteries_included:  { value:false }	0
10531	202908	is this rated r?	batteries_required:  { value:false }	0
10531	202909	is this rated r?	"brand:  { value:""bargain max decals"" }"	0
10531	202910	is this rated r?	"color:  { value:""white"" }"	0
10531	202912	is this rated r?	"exterior_finish:  { value:""smooth"" }"	0
10531	202913	is this rated r?	"fit_type:  { value:""universal"" }"	0
10531	202915	is this rated r?	"inner:  { material:[ { value:""vinyl"" } ] }"	0
10531	202917	is this rated r?	is_foldable:  { value:false }	0
10531	202919	is this rated r?	item_dimensions:  { width:{ unit:inches, normalized_value:{ unit:inches, value:0.1 }, value:0.1 }, length:{ unit:inches, normalized_value:{ unit:inches, value:5 }, value:5 }, height:{ unit:inches, normalized_value:{ unit:inches, value:5.5 }, value:5.5 } }	0
